n_cells,seed,dist,metric,method
20,2,0.12497911445279866,quartet_distance,anj
20,2,0.058646616541353384,triplet_distance,anj
20,2,0.0,rootsplit_distance,anj
20,2,0.3888888888888889,transfer_distance,anj
20,3,0.16666666666666666,rf_distance,nj
20,3,0.028738512949039265,quartet_distance,nj
20,3,0.008270676691729323,triplet_distance,nj
20,3,0.0,rootsplit_distance,nj
20,3,0.16666666666666666,transfer_distance,nj
20,3,0.1111111111111111,rf_distance,dlca_nj
20,3,0.01804511278195489,quartet_distance,dlca_nj
20,3,0.008270676691729323,triplet_distance,dlca_nj
20,3,0.0,rootsplit_distance,dlca_nj
20,3,0.1111111111111111,transfer_distance,dlca_nj
20,3,0.6666666666666666,rf_distance,srnj1
20,3,0.2895572263993317,quartet_distance,srnj1
20,3,0.12105263157894737,triplet_distance,srnj1
20,3,0.0,rootsplit_distance,srnj1
20,3,1.0,transfer_distance,srnj1
20,3,0.16666666666666666,rf_distance,srnj
20,3,0.03274853801169591,quartet_distance,srnj
20,3,0.016541353383458645,triplet_distance,srnj
20,3,0.0,rootsplit_distance,srnj
20,3,0.16666666666666666,transfer_distance,srnj
20,3,0.16666666666666666,rf_distance,srnj_maxlca
20,3,0.03274853801169591,quartet_distance,srnj_maxlca
20,3,0.016541353383458645,triplet_distance,srnj_maxlca
20,3,0.0,rootsplit_distance,srnj_maxlca
20,3,0.16666666666666666,transfer_distance,srnj_maxlca
20,3,0.16666666666666666,rf_distance,snj
20,3,0.0404344193817878,quartet_distance,snj
20,3,0.018796992481203006,triplet_distance,snj
20,3,0.0,rootsplit_distance,snj
20,3,0.16666666666666666,transfer_distance,snj
20,3,0.16666666666666666,rf_distance,fastme
20,3,0.028738512949039265,quartet_distance,fastme
20,3,0.008270676691729323,triplet_distance,fastme
20,3,0.0,rootsplit_distance,fastme
20,3,0.16666666666666666,transfer_distance,fastme
20,3,0.05555555555555555,rf_distance,anj
20,3,0.026733500417710943,quartet_distance,anj
20,3,0.015037593984962405,triplet_distance,anj
20,3,0.0,rootsplit_distance,anj
20,3,0.05555555555555555,transfer_distance,anj
20,4,0.2777777777777778,rf_distance,nj
20,4,0.05847953216374269,quartet_distance,nj
20,4,0.022556390977443608,triplet_distance,nj
20,4,0.0,rootsplit_distance,nj
20,4,0.3333333333333333,transfer_distance,nj
20,4,0.2777777777777778,rf_distance,dlca_nj
20,4,0.030743525480367587,quartet_distance,dlca_nj
20,4,0.008270676691729323,triplet_distance,dlca_nj
20,4,0.0,rootsplit_distance,dlca_nj
20,4,0.2777777777777778,transfer_distance,dlca_nj
20,4,0.2777777777777778,rf_distance,srnj1
20,4,0.02305764411027569,quartet_distance,srnj1
20,4,0.006015037593984963,triplet_distance,srnj1
20,4,0.0,rootsplit_distance,srnj1
20,4,0.2777777777777778,transfer_distance,srnj1
20,4,0.2222222222222222,rf_distance,srnj
20,4,0.020050125313283207,quartet_distance,srnj
20,4,0.005263157894736842,triplet_distance,srnj
20,4,0.0,rootsplit_distance,srnj
20,4,0.2222222222222222,transfer_distance,srnj
20,4,0.2777777777777778,rf_distance,srnj_maxlca
20,4,0.030743525480367587,quartet_distance,srnj_maxlca
20,4,0.008270676691729323,triplet_distance,srnj_maxlca
20,4,0.0,rootsplit_distance,srnj_maxlca
20,4,0.2777777777777778,transfer_distance,srnj_maxlca
20,4,0.2777777777777778,rf_distance,snj
20,4,0.05847953216374269,quartet_distance,snj
20,4,0.022556390977443608,triplet_distance,snj
20,4,0.0,rootsplit_distance,snj
20,4,0.3333333333333333,transfer_distance,snj
20,4,0.2222222222222222,rf_distance,fastme
20,4,0.053132832080200504,quartet_distance,fastme
20,4,0.02180451127819549,triplet_distance,fastme
20,4,0.0,rootsplit_distance,fastme
20,4,0.2777777777777778,transfer_distance,fastme
20,4,0.2777777777777778,rf_distance,anj
20,4,0.04644945697577277,quartet_distance,anj
20,4,0.017293233082706767,triplet_distance,anj
20,4,0.0,rootsplit_distance,anj
20,4,0.2777777777777778,transfer_distance,anj
20,5,0.16666666666666666,rf_distance,nj
20,5,0.042105263157894736,quartet_distance,nj
20,5,0.08270676691729323,triplet_distance,nj
20,5,0.0,rootsplit_distance,nj
20,5,0.1111111111111111,transfer_distance,nj
20,5,0.2222222222222222,rf_distance,dlca_nj
20,5,0.06516290726817042,quartet_distance,dlca_nj
20,5,0.05037593984962406,triplet_distance,dlca_nj
20,5,0.0,rootsplit_distance,dlca_nj
20,5,0.2222222222222222,transfer_distance,dlca_nj
20,5,0.3333333333333333,rf_distance,srnj1
20,5,0.12297410192147035,quartet_distance,srnj1
20,5,0.11203007518796992,triplet_distance,srnj1
20,5,0.0,rootsplit_distance,srnj1
20,5,0.3333333333333333,transfer_distance,srnj1
20,5,0.3333333333333333,rf_distance,srnj
20,5,0.12297410192147035,quartet_distance,srnj
20,5,0.11203007518796992,triplet_distance,srnj
20,5,0.0,rootsplit_distance,srnj
20,5,0.3333333333333333,transfer_distance,srnj
20,5,0.3333333333333333,rf_distance,srnj_maxlca
20,5,0.12464494569757728,quartet_distance,srnj_maxlca
20,5,0.11203007518796992,triplet_distance,srnj_maxlca
20,5,0.0,rootsplit_distance,srnj_maxlca
20,5,0.3333333333333333,transfer_distance,srnj_maxlca
20,5,0.2222222222222222,rf_distance,snj
20,5,0.052798663324979116,quartet_distance,snj
20,5,0.058646616541353384,triplet_distance,snj
20,5,0.0,rootsplit_distance,snj
20,5,0.2222222222222222,transfer_distance,snj
20,5,0.16666666666666666,rf_distance,fastme
20,5,0.042105263157894736,quartet_distance,fastme
20,5,0.08270676691729323,triplet_distance,fastme
20,5,0.0,rootsplit_distance,fastme
20,5,0.1111111111111111,transfer_distance,fastme
20,5,0.16666666666666666,rf_distance,anj
20,5,0.014035087719298246,quartet_distance,anj
20,5,0.030827067669172932,triplet_distance,anj
20,5,0.0,rootsplit_distance,anj
20,5,0.1111111111111111,transfer_distance,anj
20,6,0.16666666666666666,rf_distance,nj
20,6,0.01670843776106934,quartet_distance,nj
20,6,0.004511278195488722,triplet_distance,nj
20,6,0.0,rootsplit_distance,nj
20,6,0.16666666666666666,transfer_distance,nj
20,6,0.05555555555555555,rf_distance,dlca_nj
20,6,0.0481203007518797,quartet_distance,dlca_nj
20,6,0.03609022556390978,triplet_distance,dlca_nj
20,6,0.0,rootsplit_distance,dlca_nj
20,6,0.05555555555555555,transfer_distance,dlca_nj
20,6,0.2777777777777778,rf_distance,srnj1
20,6,0.10760233918128655,quartet_distance,srnj1
20,6,0.05413533834586466,triplet_distance,srnj1
20,6,0.0,rootsplit_distance,srnj1
20,6,0.3888888888888889,transfer_distance,srnj1
20,6,0.4444444444444444,rf_distance,srnj
20,6,0.3213032581453634,quartet_distance,srnj
20,6,0.16842105263157894,triplet_distance,srnj
20,6,0.0,rootsplit_distance,srnj
20,6,0.9444444444444444,transfer_distance,srnj
20,6,0.1111111111111111,rf_distance,srnj_maxlca
20,6,0.14135338345864662,quartet_distance,srnj_maxlca
20,6,0.09699248120300752,triplet_distance,srnj_maxlca
20,6,0.0,rootsplit_distance,srnj_maxlca
20,6,0.3888888888888889,transfer_distance,srnj_maxlca
