seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
0,20,1000,6,5,10,sconce2,nj,0.1173,0.2222,0.3889,0.0429,0.0000
0,20,1000,6,5,10,med2,nj,0.3422,0.4444,0.8333,0.4128,0.0000
0,20,1000,6,5,10,sconce2,snj,0.1383,0.3889,0.4444,0.1218,0.0000
0,20,1000,6,5,10,med2,snj,0.3835,0.4444,1.0000,0.4586,0.0000
0,20,1000,6,5,10,sconce2,rnj,0.0418,0.1667,0.2222,0.0128,0.0000
0,20,1000,6,5,10,med2,rnj,0.3422,0.4444,0.8333,0.4128,0.0000
0,20,1000,6,5,10,sconce2,anj,0.1173,0.2222,0.3889,0.0429,0.0000
0,20,1000,6,5,10,med2,anj,0.2448,0.3889,0.6111,0.3602,0.0000
0,20,1000,6,5,10,sconce2,fastme,0.1230,0.2778,0.4444,0.0444,0.0000
0,20,1000,6,5,10,med2,fastme,0.3806,0.4444,0.9444,0.4579,0.0000
0,20,1000,6,5,10,sconce2,srnj1,0.0424,0.2222,0.2222,0.0128,0.0000
0,20,1000,6,5,10,med2,srnj1,0.4160,0.6667,1.0556,0.4571,0.0000
0,20,1000,6,5,10,sconce2,srnj,0.1494,0.3333,0.5000,0.0541,0.0000
0,20,1000,6,5,10,med2,srnj,0.3475,0.4444,0.8333,0.4158,0.0000
0,20,1000,6,5,10,sconce2,srnjmaxlca,0.0972,0.1667,0.3333,0.0368,0.0000
0,20,1000,6,5,10,med2,srnjmaxlca,0.3679,0.5000,0.9444,0.4211,0.0000
0,50,1000,6,5,10,sconce2,nj,0.0420,0.2292,0.3333,0.0133,0.0000
0,50,1000,6,5,10,med2,nj,0.0137,0.1458,0.1875,0.0042,0.0000
0,50,1000,6,5,10,sconce2,snj,0.0551,0.2708,0.3333,0.1516,0.0000
0,50,1000,6,5,10,med2,snj,0.1148,0.4583,0.6875,0.1040,0.1000
0,50,1000,6,5,10,sconce2,rnj,0.0148,0.1667,0.1875,0.0046,0.0000
0,50,1000,6,5,10,med2,rnj,0.0137,0.1458,0.1875,0.0042,0.0000
0,50,1000,6,5,10,sconce2,anj,0.0160,0.2292,0.2500,0.0047,0.0000
0,50,1000,6,5,10,med2,anj,0.0141,0.1667,0.2083,0.0043,0.0000
0,50,1000,6,5,10,sconce2,fastme,0.0135,0.1667,0.1875,0.0040,0.0000
0,50,1000,6,5,10,med2,fastme,0.0135,0.1250,0.1667,0.0042,0.0000
0,50,1000,6,5,10,sconce2,srnj1,0.1993,0.5625,1.1250,0.2117,0.2000
0,50,1000,6,5,10,med2,srnj1,0.1461,0.5417,1.1250,0.1802,0.1500
0,50,1000,6,5,10,sconce2,srnj,0.1106,0.3750,0.7500,0.1483,0.2000
0,50,1000,6,5,10,med2,srnj,0.0398,0.2292,0.3125,0.0128,0.0000
0,50,1000,6,5,10,sconce2,srnjmaxlca,0.0510,0.3750,0.4167,0.0168,0.0000
0,50,1000,6,5,10,med2,srnjmaxlca,0.0510,0.4583,0.5625,0.0492,0.0500
1,20,1000,6,5,10,sconce2,nj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,med2,nj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,sconce2,snj,0.0792,0.2222,0.2778,0.0271,0.0000
1,20,1000,6,5,10,med2,snj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,sconce2,rnj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,med2,rnj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,sconce2,anj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,med2,anj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,sconce2,fastme,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,med2,fastme,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,sconce2,srnj1,0.0819,0.2222,0.3889,0.0278,0.0000
1,20,1000,6,5,10,med2,srnj1,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,sconce2,srnj,0.0030,0.0556,0.0556,0.0008,0.0000
1,20,1000,6,5,10,med2,srnj,0.0431,0.1111,0.1667,0.0158,0.0000
1,20,1000,6,5,10,sconce2,srnjmaxlca,0.0030,0.0556,0.0556,0.0008,0.0000
1,20,1000,6,5,10,med2,srnjmaxlca,0.0388,0.1667,0.1667,0.0135,0.0000
1,50,1000,6,5,10,sconce2,nj,0.0923,0.4375,0.6042,0.0341,0.0000
1,50,1000,6,5,10,med2,nj,0.0266,0.2500,0.3125,0.0079,0.0000
1,50,1000,6,5,10,sconce2,snj,0.1221,0.4792,0.8958,0.0494,0.0000
1,50,1000,6,5,10,med2,snj,0.0781,0.4375,0.6250,0.0288,0.0000
1,50,1000,6,5,10,sconce2,rnj,0.0726,0.3542,0.4583,0.0270,0.0000
1,50,1000,6,5,10,med2,rnj,0.0721,0.3750,0.4583,0.0268,0.0000
1,50,1000,6,5,10,sconce2,anj,0.1291,0.4583,0.6250,0.0639,0.0000
1,50,1000,6,5,10,med2,anj,0.0721,0.3750,0.4583,0.0268,0.0000
1,50,1000,6,5,10,sconce2,fastme,0.0968,0.4375,0.6667,0.0356,0.0000
1,50,1000,6,5,10,med2,fastme,0.0245,0.2292,0.2917,0.0073,0.0000
1,50,1000,6,5,10,sconce2,srnj1,0.0436,0.3750,0.5000,0.0135,0.0000
1,50,1000,6,5,10,med2,srnj1,0.2297,0.6250,1.1458,0.1017,0.0000
1,50,1000,6,5,10,sconce2,srnj,0.1533,0.5000,0.8542,0.0651,0.0000
1,50,1000,6,5,10,med2,srnj,0.1738,0.5625,0.8750,0.1128,0.1000
1,50,1000,6,5,10,sconce2,srnjmaxlca,0.1080,0.5208,0.7292,0.0447,0.0000
1,50,1000,6,5,10,med2,srnjmaxlca,0.2249,0.5625,1.1042,0.1897,0.3000
2,20,1000,6,5,10,sconce2,nj,0.0247,0.1111,0.1111,0.0083,0.0000
2,20,1000,6,5,10,med2,nj,0.0247,0.1111,0.1111,0.0083,0.0000
2,20,1000,6,5,10,sconce2,snj,0.0348,0.1667,0.1667,0.0113,0.0000
2,20,1000,6,5,10,med2,snj,0.0304,0.1667,0.1667,0.0098,0.0000
2,20,1000,6,5,10,sconce2,rnj,0.0057,0.0556,0.0556,0.0015,0.0000
2,20,1000,6,5,10,med2,rnj,0.0404,0.2222,0.2222,0.0128,0.0000
2,20,1000,6,5,10,sconce2,anj,0.0356,0.1111,0.1111,0.0120,0.0000
2,20,1000,6,5,10,med2,anj,0.0404,0.2222,0.2222,0.0128,0.0000
2,20,1000,6,5,10,sconce2,fastme,0.0247,0.1111,0.1111,0.0083,0.0000
2,20,1000,6,5,10,med2,fastme,0.0217,0.0556,0.0556,0.0075,0.0000
2,20,1000,6,5,10,sconce2,srnj1,0.0057,0.0556,0.0556,0.0015,0.0000
2,20,1000,6,5,10,med2,srnj1,0.0600,0.2222,0.2222,0.0195,0.0000
2,20,1000,6,5,10,sconce2,srnj,0.0057,0.0556,0.0556,0.0015,0.0000
2,20,1000,6,5,10,med2,srnj,0.0434,0.2778,0.2778,0.0135,0.0000
2,20,1000,6,5,10,sconce2,srnjmaxlca,0.0174,0.1111,0.1111,0.0053,0.0000
2,20,1000,6,5,10,med2,srnjmaxlca,0.0304,0.1667,0.1667,0.0098,0.0000
2,50,1000,6,5,10,sconce2,nj,0.0360,0.1667,0.1667,0.0188,0.0000
2,50,1000,6,5,10,med2,nj,0.0062,0.1458,0.1458,0.0017,0.0000
2,50,1000,6,5,10,sconce2,snj,0.0827,0.2917,0.3958,0.0412,0.0000
2,50,1000,6,5,10,med2,snj,0.0248,0.2708,0.2917,0.0081,0.0000
2,50,1000,6,5,10,sconce2,rnj,0.0362,0.1875,0.1875,0.0188,0.0000
2,50,1000,6,5,10,med2,rnj,0.0807,0.1875,0.2708,0.0529,0.0000
2,50,1000,6,5,10,sconce2,anj,0.0373,0.2083,0.2083,0.0191,0.0000
