seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
0,20,1000,6,5,10,sconce2,nj,0.2087,0.5000,0.7222,0.0842,0.0000
0,20,1000,6,5,10,med2,nj,0.2217,0.5000,0.7778,0.0902,0.0000
0,20,1000,6,5,10,sconce2,snj,0.2754,0.6111,0.9444,0.1128,0.0000
0,20,1000,6,5,10,med2,snj,0.2264,0.6667,0.8889,0.0902,0.0000
0,20,1000,6,5,10,sconce2,rnj,0.0942,0.3889,0.3889,0.0368,0.0000
0,20,1000,6,5,10,med2,rnj,0.2167,0.5556,0.8333,0.0865,0.0000
0,20,1000,6,5,10,sconce2,anj,0.2167,0.5556,0.8333,0.0865,0.0000
0,20,1000,6,5,10,med2,anj,0.2167,0.5556,0.8333,0.0865,0.0000
0,20,1000,6,5,10,sconce2,fastme,0.2087,0.5000,0.7222,0.0842,0.0000
0,20,1000,6,5,10,med2,fastme,0.2257,0.5000,0.7778,0.0917,0.0000
0,20,1000,6,5,10,sconce2,srnj1,0.0648,0.3333,0.3889,0.0211,0.0000
0,20,1000,6,5,10,med2,srnj1,0.1721,0.6111,0.7222,0.0684,0.0000
0,20,1000,6,5,10,sconce2,srnj,0.1554,0.5000,0.7222,0.0609,0.0000
0,20,1000,6,5,10,med2,srnj,0.2620,0.5556,0.8333,0.2090,0.0000
0,20,1000,6,5,10,sconce2,srnjmaxlca,0.1155,0.2778,0.4444,0.0519,0.0000
0,20,1000,6,5,10,med2,srnjmaxlca,0.2334,0.5556,0.8333,0.0940,0.0000
0,50,1000,6,5,10,sconce2,nj,0.1723,0.4583,0.6042,0.1319,0.0000
0,50,1000,6,5,10,med2,nj,0.1654,0.4792,0.6458,0.1293,0.0000
0,50,1000,6,5,10,sconce2,snj,0.1719,0.4583,0.7292,0.1309,0.0000
0,50,1000,6,5,10,med2,snj,0.1926,0.5208,0.9792,0.1746,0.0000
0,50,1000,6,5,10,sconce2,rnj,0.0283,0.3125,0.3542,0.0088,0.0000
0,50,1000,6,5,10,med2,rnj,0.1912,0.5000,0.7500,0.1383,0.0000
0,50,1000,6,5,10,sconce2,anj,0.1655,0.4583,0.6458,0.1294,0.0000
0,50,1000,6,5,10,med2,anj,0.1912,0.5000,0.7500,0.1383,0.0000
0,50,1000,6,5,10,sconce2,fastme,0.1723,0.4583,0.6042,0.1319,0.0000
0,50,1000,6,5,10,med2,fastme,0.1465,0.3958,0.6042,0.1132,0.0000
0,50,1000,6,5,10,sconce2,srnj1,0.1359,0.4792,0.6875,0.1015,0.0000
0,50,1000,6,5,10,med2,srnj1,0.2324,0.5833,1.2083,0.1500,0.0000
0,50,1000,6,5,10,sconce2,srnj,0.1512,0.5417,0.8958,0.1224,0.0000
0,50,1000,6,5,10,med2,srnj,0.1296,0.4583,0.6458,0.0988,0.0000
0,50,1000,6,5,10,sconce2,srnjmaxlca,0.1558,0.4375,0.7917,0.1320,0.0000
0,50,1000,6,5,10,med2,srnjmaxlca,0.1881,0.6250,1.0625,0.1265,0.0000
0,100,1000,6,5,10,sconce2,nj,0.3633,0.6224,2.2857,0.3779,0.4474
0,100,1000,6,5,10,med2,nj,0.1104,0.5816,1.1531,0.0402,0.0000
0,100,1000,6,5,10,sconce2,snj,0.2767,0.7551,2.1531,0.3113,0.2105
0,100,1000,6,5,10,med2,snj,0.0756,0.5918,0.9898,0.1867,0.0000
0,100,1000,6,5,10,sconce2,rnj,0.1102,0.5816,1.1531,0.0402,0.0000
0,100,1000,6,5,10,med2,rnj,0.1166,0.5612,1.2551,0.0393,0.0000
0,100,1000,6,5,10,sconce2,anj,0.3521,0.6224,2.2755,0.3497,0.4211
0,100,1000,6,5,10,med2,anj,0.1166,0.5714,1.2653,0.0394,0.0000
0,100,1000,6,5,10,sconce2,fastme,0.1352,0.6122,1.3469,0.0471,0.0000
0,100,1000,6,5,10,med2,fastme,0.0906,0.5510,0.9898,0.0311,0.0000
0,100,1000,6,5,10,sconce2,srnj1,0.2838,0.8878,2.3367,0.2249,0.1316
0,100,1000,6,5,10,med2,srnj1,0.3813,0.8571,3.0204,0.4439,0.5263
0,100,1000,6,5,10,sconce2,srnj,0.1536,0.7755,1.4694,0.1299,0.0789
0,100,1000,6,5,10,med2,srnj,0.1761,0.7449,1.6122,0.0918,0.0263
