tool,n_cells,avg_full,std_full,avg_pp,std_pp
sconce2,20,30691.12,20806.91,161.5322,109.5100
medicc2,20,73.18,5.62,0.3851,0.0296
sconce2,50,203785.93,84689.09,166.3559,69.1340
medicc2,50,207.42,76.29,0.1693,0.0623
sconce2,100,1091607.29,328956.49,220.5267,66.4559
medicc2,100,989.50,143.21,0.1999,0.0289
