n_cells,seed,strategy,metric,dist
20,4,srnj_max_lca,transfer_distance,
20,4,gt_min,rf_distance,0.13043478260869565
20,4,gt_min,quartet_distance,0.03411371237458194
20,4,gt_min,triplet_distance,0.12115384615384615
20,4,gt_min,transfer_distance,
20,4,gt_max_lca,rf_distance,0.13043478260869565
20,4,gt_max_lca,quartet_distance,0.03411371237458194
20,4,gt_max_lca,triplet_distance,0.12115384615384615
20,4,gt_max_lca,transfer_distance,
20,4,hamming,rf_distance,0.08695652173913043
20,4,hamming,quartet_distance,0.027759197324414717
20,4,hamming,triplet_distance,0.11384615384615385
20,4,hamming,transfer_distance,
20,4,hamming_max_lca,rf_distance,0.13043478260869565
20,4,hamming_max_lca,quartet_distance,0.043010033444816055
20,4,hamming_max_lca,triplet_distance,0.13576923076923078
20,4,hamming_max_lca,transfer_distance,
20,4,nll,rf_distance,0.13043478260869565
20,4,nll,quartet_distance,0.043010033444816055
20,4,nll,triplet_distance,0.13576923076923078
20,4,nll,transfer_distance,
20,4,nll_max_lca,rf_distance,0.13043478260869565
20,4,nll_max_lca,quartet_distance,0.04555183946488294
20,4,nll_max_lca,triplet_distance,0.14307692307692307
20,4,nll_max_lca,transfer_distance,
20,5,dlca_nj,rf_distance,0.13043478260869565
20,5,dlca_nj,quartet_distance,0.037926421404682276
20,5,dlca_nj,triplet_distance,0.12846153846153846
20,5,dlca_nj,transfer_distance,
20,5,srnj_min_D,rf_distance,0.08695652173913043
20,5,srnj_min_D,quartet_distance,0.027759197324414717
20,5,srnj_min_D,triplet_distance,0.11384615384615385
20,5,srnj_min_D,transfer_distance,
20,5,srnj_max_lca,rf_distance,0.13043478260869565
20,5,srnj_max_lca,quartet_distance,0.046822742474916385
20,5,srnj_max_lca,triplet_distance,0.165
20,5,srnj_max_lca,transfer_distance,
20,5,gt_min,rf_distance,0.13043478260869565
20,5,gt_min,quartet_distance,0.04555183946488294
20,5,gt_min,triplet_distance,0.14307692307692307
20,5,gt_min,transfer_distance,
20,5,gt_max_lca,rf_distance,0.13043478260869565
20,5,gt_max_lca,quartet_distance,0.04555183946488294
20,5,gt_max_lca,triplet_distance,0.14307692307692307
20,5,gt_max_lca,transfer_distance,
20,5,hamming,rf_distance,0.13043478260869565
20,5,hamming,quartet_distance,0.04555183946488294
20,5,hamming,triplet_distance,0.14307692307692307
20,5,hamming,transfer_distance,
20,5,hamming_max_lca,rf_distance,0.13043478260869565
20,5,hamming_max_lca,quartet_distance,0.043010033444816055
20,5,hamming_max_lca,triplet_distance,0.13576923076923078
20,5,hamming_max_lca,transfer_distance,
20,5,nll,rf_distance,0.13043478260869565
20,5,nll,quartet_distance,0.043010033444816055
20,5,nll,triplet_distance,0.13576923076923078
20,5,nll,transfer_distance,
20,5,nll_max_lca,rf_distance,0.13043478260869565
20,5,nll_max_lca,quartet_distance,0.03411371237458194
