seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
1,50,1000,6,2,10,sconce2,srnj1,0.2092,0.6042,1.0000,0.1143,0.0000
1,50,1000,6,2,10,med2,srnj1,0.2401,0.5000,1.1250,0.1358,0.0000
1,50,1000,6,2,10,sconce2,srnj,0.0785,0.2708,0.5417,0.0278,0.0000
1,50,1000,6,2,10,med2,srnj,0.1355,0.2917,0.5625,0.0853,0.0000
1,50,1000,6,2,10,sconce2,srnjmaxlca,0.0570,0.2708,0.3958,0.0204,0.0000
1,50,1000,6,2,10,med2,srnjmaxlca,0.1191,0.3750,0.5625,0.0695,0.0000
2,20,1000,6,2,10,sconce2,nj,0.0000,0.0000,0.0000,0.0000,0.0000
2,20,1000,6,2,10,med2,nj,0.0000,0.0000,0.0000,0.0000,0.0000
2,20,1000,6,2,10,sconce2,snj,0.0057,0.0556,0.0556,0.0015,0.0000
2,20,1000,6,2,10,med2,snj,0.0030,0.0556,0.0556,0.0008,0.0000
2,20,1000,6,2,10,sconce2,rnj,0.0388,0.1667,0.1667,0.0143,0.0000
2,20,1000,6,2,10,med2,rnj,0.0030,0.0556,0.0556,0.0008,0.0000
2,20,1000,6,2,10,sconce2,anj,0.0130,0.1111,0.1111,0.0038,0.0000
2,20,1000,6,2,10,med2,anj,0.0030,0.0556,0.0556,0.0008,0.0000
2,20,1000,6,2,10,sconce2,fastme,0.0100,0.0556,0.0556,0.0030,0.0000
2,20,1000,6,2,10,med2,fastme,0.0030,0.0556,0.0556,0.0008,0.0000
2,20,1000,6,2,10,sconce2,srnj1,0.0130,0.1111,0.1111,0.0038,0.0000
2,20,1000,6,2,10,med2,srnj1,0.0030,0.0556,0.0556,0.0008,0.0000
2,20,1000,6,2,10,sconce2,srnj,0.0130,0.1111,0.1111,0.0038,0.0000
2,20,1000,6,2,10,med2,srnj,0.0000,0.0000,0.0000,0.0000,0.0000
2,20,1000,6,2,10,sconce2,srnjmaxlca,0.0516,0.1667,0.2222,0.0195,0.0000
2,20,1000,6,2,10,med2,srnjmaxlca,0.0000,0.0000,0.0000,0.0000,0.0000
2,50,1000,6,2,10,sconce2,nj,0.1191,0.5000,0.7292,0.1911,0.1538
