n_cells,seed,method,est_time,num_calls
50,6,srnj_maxlca,93.21407400,932
50,6,snj,118.13272217,1181
50,7,nj,122.50736071,1225
50,7,dlca_nj,122.50219358,1225
50,7,srnj1,40.11130504,401
50,7,srnj,96.11513963,961
50,7,srnj_maxlca,94.81367462,948
50,7,snj,117.73179079,1177
50,8,nj,122.50654967,1225
50,8,dlca_nj,122.50244971,1225
50,8,srnj1,41.71100650,417
50,8,srnj,97.11594442,971
50,8,srnj_maxlca,91.41349167,914
50,8,snj,117.43042371,1174
50,9,nj,122.50676054,1225
50,9,dlca_nj,122.50193783,1225
50,9,srnj1,42.31079512,423
50,9,srnj,96.31908079,963
50,9,srnj_maxlca,96.91346958,969
50,9,snj,119.03227608,1190
50,10,nj,122.50699054,1225
50,10,dlca_nj,122.50187488,1225
50,10,srnj1,40.21070504,402
50,10,srnj,91.21436750,912
50,10,srnj_maxlca,97.11272079,971
50,10,snj,118.13153279,1181
50,11,nj,122.50688038,1225
50,11,dlca_nj,122.50188283,1225
50,11,srnj1,36.41211896,364
50,11,srnj,86.21461788,862
50,11,srnj_maxlca,86.41228963,864
50,11,snj,118.13229629,1181
50,12,nj,122.50670383,1225
50,12,dlca_nj,122.50253496,1225
50,12,srnj1,39.81136583,398
50,12,srnj,85.41464354,854
50,12,srnj_maxlca,87.41342171,874
50,12,snj,119.73057725,1197
50,13,nj,122.50662408,1225
50,13,dlca_nj,122.50209925,1225
50,13,srnj1,37.11049204,371
50,13,srnj,86.91434825,869
50,13,srnj_maxlca,86.91229504,869
50,13,snj,118.22838592,1182
50,14,nj,122.50654075,1225
50,14,dlca_nj,122.50187108,1225
50,14,srnj1,37.71068983,377
50,14,srnj,81.21224296,812
50,14,srnj_maxlca,83.41283287,834
50,14,snj,118.43135958,1184
50,15,nj,122.50732687,1225
50,15,dlca_nj,122.50218088,1225
50,15,srnj1,41.21529471,412
50,15,srnj,95.81480675,958
50,15,srnj_maxlca,95.82717354,958
50,15,snj,119.63347142,1196
50,16,nj,122.50619454,1225
50,16,dlca_nj,122.50208454,1225
50,16,srnj1,39.81116933,398
50,16,srnj,92.01236813,920
50,16,srnj_maxlca,92.11304162,921
50,16,snj,118.73134375,1187
50,17,nj,122.50697367,1225
50,17,dlca_nj,122.50200600,1225
50,17,srnj1,39.31138633,393
50,17,srnj,91.61514667,916
50,17,srnj_maxlca,82.91240808,829
50,17,snj,118.03486567,1180
50,18,nj,122.50629550,1225
50,18,dlca_nj,122.50191408,1225
50,18,srnj1,40.41447038,404
50,18,srnj,83.11396642,831
50,18,srnj_maxlca,83.11520621,831
50,18,snj,117.53104437,1175
50,19,nj,122.50621696,1225
50,19,dlca_nj,122.50203758,1225
50,19,srnj1,39.21223142,392
50,19,srnj,86.31288438,863
50,19,srnj_maxlca,86.41223650,864
50,19,snj,118.63151462,1186
100,0,nj,495.04434825,4950
100,0,dlca_nj,495.00363033,4950
100,0,srnj1,104.93289388,1049
100,0,srnj,333.03624471,3330
100,0,srnj_maxlca,321.33613833,3213
100,0,snj,458.96256179,4587
100,1,nj,495.01806687,4950
100,1,dlca_nj,495.00357658,4950
100,1,srnj1,111.73402808,1117
100,1,srnj,303.13826271,3031
100,1,srnj_maxlca,305.63741729,3056
100,1,snj,463.40161275,4633
100,2,nj,495.01837004,4950
100,2,dlca_nj,495.00405179,4950
100,2,srnj1,100.23039542,1002
100,2,srnj,289.43518275,2894
100,2,srnj_maxlca,299.43510521,2994
100,2,snj,459.89762883,4598
100,3,nj,495.01793579,4950
100,3,dlca_nj,495.00356254,4950
100,3,srnj1,109.63303629,1096
100,3,srnj,287.53724637,2875
100,3,srnj_maxlca,310.03725275,3100
100,3,snj,463.30453317,4632
100,4,nj,495.01777025,4950
100,4,dlca_nj,495.00369196,4950
100,4,srnj1,98.33146788,983
100,4,srnj,282.03631467,2820
100,4,srnj_maxlca,283.93610508,2839
100,4,snj,464.40439496,4643
100,5,nj,495.01775413,4950
